Case,Predicted_Condition
178,Anomaly
179,Fault
180,Normal
181,Normal
182,Normal
183,Normal
184,Unknown
185,Normal
186,Anomaly
187,Normal
188,Fault
189,Normal
190,Fault
191,Normal
192,Unknown
193,Fault
194,Normal
195,Normal
196,Anomaly
197,Anomaly
198,Normal
199,Normal
200,Unknown
201,Normal
202,Fault
203,Normal
204,Anomaly
205,Normal
206,Normal
207,Unknown
208,Normal
209,Anomaly
210,Normal
211,Fault
212,Fault
213,Normal
214,Fault
215,Normal
216,Fault
217,Normal
218,Unknown
219,Anomaly
220,Normal
221,Anomaly
222,Unknown
223,Normal
