Case,Condition,anomaly_location,fault_location,valve_opening
178,2,2,0,100
179,3,0,2,30
180,0,0,0,100
181,3,0,4,68
182,0,0,0,100
183,0,0,0,100
184,1,0,0,100
185,0,0,0,100
186,2,6,0,100
187,0,0,0,100
188,3,0,1,27
189,0,0,0,100
190,3,0,3,51
191,0,0,0,100
192,1,0,0,100
193,2,1,0,100
194,0,0,0,100
195,0,0,0,100
196,2,4,0,100
197,2,7,0,100
198,0,0,0,100
199,0,0,0,100
200,1,0,0,100
201,0,0,0,100
202,3,0,3,56
203,0,0,0,100
204,1,0,0,100
205,0,0,0,100
206,0,0,0,100
207,1,0,0,100
208,0,0,0,100
209,2,7,0,100
210,0,0,0,100
211,0,0,0,100
212,3,0,2,61
213,0,0,0,100
214,3,0,3,49
215,0,0,0,100
216,2,1,0,100
217,0,0,0,100
218,1,0,0,100
219,2,5,0,100
220,0,0,0,100
221,2,2,0,100
222,1,0,0,100
223,0,0,0,100
